"","i","j","f.i.wt","f.j.wt","f.i.j","f.ij.i","f.ij.j","ep.ij","ep.ji","max.ep","delta","fmax"
"1613","ACOAD3f","FADRx",-0.076691956210836,-0.02812394519653,-0.0485680312889544,-0.00255028872999181,-0.0511183066472071,0.0255736564665382,0.0255736495636289,0.0255736564665382,6.90290925808856e-09,0.0792422518437371
"1614","ACOAD3f","FDH5r2pp",-0.076691956210836,0.981648964196749,-1.05834110522387,0.953388365048295,-0.10495204251361,-0.0282605991484539,-0.028260086302774,-0.0282605991484539,-5.12845679923046e-07,0.876696921683139
"1615","ACOAD3f","GHMT2r",-0.076691956210836,-0.0473822708406546,-0.029309697620022,-0.0444112284527983,-0.073720914510449,0.00297104238785631,0.00297104170038701,0.00297104238785631,6.87469303706223e-10,0.121103185351104
"1616","ACOAD3f","GLYC3Pt6pp",-0.076691956210836,0,-0.0766919882231903,-0.00254048079195671,-0.07923243608875,-0.00254048079195671,-0.00254047987791398,-0.00254048079195671,-9.14042730393305e-10,0.0792324370027927
"1617","ACOAD3f","GLYCL_2",-0.076691956210836,0.0554064248203487,-0.132098435986823,0.0518602527260549,-0.0802381247018958,-0.00354617209429375,-0.00354616849105976,-0.00354617209429375,-3.60323398895801e-09,0.0248317034847811
"1618","ACOAD3f","HACD1",-0.076691956210836,-0.076691956210836,-1.80937487213623e-11,1.80937487213623e-11,1.80937487213623e-11,0.0766919562289298,0.0766919562289298,0.0766919562289298,0,0.0766919561927423
"1619","ACOAD3f","HACD2",-0.076691956210836,-0.076691956210836,-1.80937487213623e-11,1.80937487213623e-11,1.80937487213623e-11,0.0766919562289298,0.0766919562289298,0.0766919562289298,0,0.0766919561927423
"1620","ACOAD3f","HACD3",-0.076691956210836,-0.076691956210836,-1.80937487213623e-11,1.80937487213623e-11,1.80937487213623e-11,0.0766919562289298,0.0766919562289298,0.0766919562289298,0,0.0766919561927423
"1621","ACOAD3f","HACD4",-0.076691956210836,-0.0459055730003584,-0.0307863961202493,1.80937487213623e-11,-0.0307863910176689,0.0459055730184521,0.0459055651931671,0.0459055730184521,7.82528503107116e-09,0.0766919640180273
"1622","ACOAD3f","HACD5",-0.076691956210836,-0.0324584655785175,-0.0442335090704003,1.80937487213623e-11,-0.0442334985360919,0.0324584655966112,0.0324584576747441,0.0324584655966112,7.92186713449716e-09,0.0766919641146094
"1623","ACOAD3f","HACD6",-0.076691956210836,-0.0258447165767701,-0.0508472608535556,-0.00254048079195671,-0.0533877270618826,0.0233042357848134,0.0233042291489534,0.0233042357848134,6.63586002813688e-09,0.0792324436386528
