"M","env.effect","f.i.wt"
"ASCBPL",0,0
"ASCBptspp",0,0
"ASD",0,0
"ASNabc",0,0
"ASNabcpp",1.62e-10,0
"ASNN",0,0
"ASNNpp",0,0
"ASNS1",0,0
"ASNS2",0.0100465411,-0.00626045485367314
"ASNt2r",0,0
"ASNt2rpp",0,0
"ASNTRAT",0,0
"ASNTRS",0,0
"ASNTRS_1",0,0
"ASO3t4pp",0,0
"ASO3t8pp",0,0
"ASO4rt2rpp",0,0
"ASO4t4pp",0,0
"ASO4tex",0,0
"ASP4DC",0,0
"ASPabc",0,0
"ASPabcpp",0,0
"ASPO1",0,0
"ASPO2",0,0
"ASPO2y",4.76e-05,2.96592516952792e-05
"ASPO3",0,0
"ASPO3_1",0,0
"ASPO4",0,0
"ASPO4_1",0,0
"ASPO5",0,0
"ASPO5_1",0,0
"ASPO6",0.0008556869,-8.89734526269323e-05
"ASPO6_1",2.38e-05,1.48295738147474e-05
"ASPR",0,0
"ASPT",0,0
"ASPt2_2",0,0
"ASPt2_2pp",3.46e-09,0
"ASPt2_3",0,0
"ASPt2_3pp",3.46e-09,0
"ASPt2pp_copy1",1e-11,0
"ASPt2pp_copy2",0,0
"ASPt2r",0,0
"ASPTA6",0,0
"ASPTRS",0,0
"ASPTRS_Asn",0,0
"ASR",0,0
"ASR2",0,0
"AST",0,0
"ATGH",0,0
"ATHRDHr",0,0
"ATIH",0,0
"ATPHs",0,0
"ATPS1",0,0
"ATPS4r",0,0
"ATPS4rpp",27.2212216517,-0.692125480438776
"ATPS4rpp_1",0,0
"ATPSu",0,0
"ATRZCH",0,0
"ATSH",0,0
"AU1abcpp",0,0
"BACCL",0,0
"BALAt2pp",0,0
"BALAt2r",0,0
"BAMPPALDOX",0,0
"BC10_new",0,0
"BCAROHX",0,0
"BCAROHX2",0,0
"BCAROKE",0,0
"BCOALIG",0,0
"BCOALIG2",0,0
"BCR6pp",1.19e-10,0
"BCT1_syn",0,0
"BDH",0,0
"BETALDHx",0,0
"BETALDHy",0,0
"BG_CELLB",0,0
"BGLA",0,0
"BGLA1",0,0
"BGLK",0,0
"BG_MADG",0,0
"BG_MBDG",0,0
"BHBtpp",0,0
"BHMT",0,0
"BILEt4",0,0
"BILIRED",0,0
"BLACT",0,0
"BLAT",0,0
"BLUB",0,0
"BMNMSHS",0,0
"BMNt",0,0
"BRFAPS",0,0
"BSCT",0,0
"BSORx",0,0
"BSORy",0,0
"BTDD_RR",0,0
"BTDt_RR",0,0
"BTNt2i",0,0
"BTNt2ipp",0,0
"BTOHt2rpp",0,0
"BTS_1",0,0
"BTS2",6.1e-07,0
