Distance,Delta_Growth_Mean,Delta_Growth_Mean_Null,Delta_Growth_SE,Delta_Growth_SE_Null
277,0.0042379506,0.0032641928,0.0008704224,0.000310613
278,0.0042288774,0.0032638229,0.0008703694,0.0003105744
279,0.0042673002,0.0033003297,0.0008709822,0.0003123549
280,0.0042972332,0.0033360882,0.000871616,0.0003139964
281,0.0042948605,0.0033353779,0.0008716245,0.0003138916
282,0.0042857236,0.0033350581,0.0008716633,0.0003138876
283,0.0043117223,0.0033338825,0.0008749805,0.000313766
284,0.0043117876,0.0033339506,0.0008749834,0.0003137732
285,0.0043117876,0.0033337102,0.0008749834,0.0003137695
286,0.004312864,0.0033475101,0.0008751687,0.0003142671
287,0.0043128753,0.0033474934,0.0008751674,0.0003142638
288,0.0043112761,0.0033462564,0.0008750969,0.0003141663
289,0.0043112945,0.0033457189,0.000875097,0.0003141139
290,0.0043617525,0.0033774691,0.0008757522,0.0003153742
291,0.0043617701,0.0033761076,0.0008757522,0.0003152404
292,0.0043604869,0.0033857598,0.0008757723,0.0003159484
293,0.0043231962,0.0033850248,0.000875162,0.0003158711
294,0.0043233605,0.0033838014,0.0008751685,0.0003157496
295,0.0043233604,0.0033909183,0.0008751685,0.0003157531
296,0.0044721584,0.0033943931,0.0008847831,0.0003158167
297,0.0044723172,0.0034014049,0.0008847868,0.0003157615
298,0.0044690963,0.0034001249,0.0008847427,0.0003156191
299,0.0044681005,0.0034001197,0.0008847054,0.0003156142
300,0.0044848173,0.0033996781,0.0008861,0.000315565
301,0.00448457,0.0033983391,0.0008860906,0.0003154585
302,0.0044848131,0.0033979206,0.000886142,0.0003154108
303,0.0045277853,0.0034320943,0.0008869635,0.0003168909
304,0.0045275951,0.0034318358,0.0008869345,0.0003168873
305,0.0045373348,0.0034318667,0.0008873292,0.0003168877
306,0.0045373347,0.0034312961,0.0008873292,0.000316874
307,0.0045372626,0.0034311427,0.0008873266,0.000316872
308,0.0045373036,0.0034477435,0.0008873263,0.000319075
309,0.0045667585,0.0034855419,0.0008879452,0.0003208997
310,0.0045668252,0.0034855428,0.0008879452,0.0003208997
311,0.0045944793,0.0034772205,0.0008899776,0.0003198122
312,0.0045969458,0.0034769576,0.0008900201,0.0003198085
313,0.0045971353,0.0034769748,0.0008900249,0.0003198088
314,0.0046342675,0.0035234341,0.0008906074,0.0003226636
315,0.0046814269,0.0035309717,0.0008933613,0.0003226793
316,0.004680519,0.0035305936,0.000893351,0.0003226701
317,0.0046803051,0.0035302213,0.0008933402,0.0003226339
318,0.0047587844,0.0035296561,0.0008958741,0.0003225844
319,0.0048392514,0.0035659068,0.0008972523,0.0003242221
320,0.0048392542,0.0035659138,0.0008972523,0.0003242225
321,0.0048483049,0.003564906,0.000897757,0.0003241856
322,0.0048872467,0.0036038764,0.0008983906,0.0003260914
323,0.0048874379,0.0036036854,0.0008984056,0.0003260892
324,0.0048874212,0.0036100306,0.0008984049,0.0003260798
325,0.0048506737,0.0036089054,0.0008978507,0.0003259718
326,0.0048874724,0.0036552144,0.0008984057,0.000327641
327,0.0048863146,0.0036625818,0.0008983648,0.0003276416
328,0.0048735728,0.0036609804,0.0008969867,0.0003275066
329,0.0048736209,0.0036608714,0.0008969864,0.0003275
330,0.0048004235,0.0036600523,0.000892692,0.0003273837
331,0.0048003734,0.0036588733,0.0008926918,0.0003272917
332,0.0048037805,0.0036662484,0.0008921831,0.000327247
333,0.0048037407,0.003666273,0.0008921816,0.0003272494
334,0.0048035333,0.0036659604,0.0008921723,0.0003272202
335,0.0048034127,0.0036727473,0.0008921665,0.0003271259
336,0.0048141747,0.003670873,0.000892173,0.0003269237
337,0.0048651538,0.0037070183,0.000892772,0.0003285103
338,0.0050028669,0.0037138009,0.0009021537,0.0003284374
339,0.0049948516,0.0037139053,0.0009021627,0.0003284455
340,0.0049948528,0.0037513233,0.0009021628,0.0003301488
341,0.0049969174,0.0037471298,0.0009022401,0.0003297916
342,0.0053219539,0.0038188398,0.0009185152,0.0003328645
343,0.0053293268,0.0038257892,0.0009184582,0.0003328639
344,0.0053556525,0.003918314,0.0009190124,0.0003384019
345,0.0053544506,0.0039169737,0.0009188754,0.0003382897
346,0.0054340172,0.0039484229,0.0009218648,0.0003393739
347,0.0055357024,0.0039820678,0.0009273986,0.0003406423
348,0.0055358416,0.0039769056,0.0009274171,0.0003401518
349,0.0055444738,0.0039833827,0.0009277735,0.0003400705
350,0.0055519392,0.0039892756,0.0009277423,0.0003396989
351,0.005551369,0.0039915724,0.0009277454,0.0003396507
352,0.0055134324,0.003975262,0.0009271908,0.0003384226
353,0.0055133619,0.0039752778,0.0009271884,0.0003384228
354,0.0055127304,0.0039742108,0.0009271676,0.0003383349
355,0.0055070215,0.0039740387,0.0009271804,0.0003383321
356,0.0055070664,0.0039883605,0.0009271829,0.0003388046
357,0.0054934964,0.0039883006,0.0009254285,0.0003388043
358,0.0054937716,0.0039870158,0.0009254379,0.0003387096
359,0.0054750857,0.0039870512,0.0009225473,0.00033871
360,0.0055299178,0.004036594,0.0009233242,0.0003412981
361,0.0055869789,0.0040354941,0.0009262802,0.0003412101
362,0.0055863799,0.0041088882,0.0009262549,0.0003442677
363,0.0056252099,0.0041699193,0.0009268003,0.0003478935
364,0.0056252099,0.0041837372,0.0009268003,0.0003493831
365,0.0056240036,0.0041791508,0.0009268068,0.0003489837
366,0.0056456679,0.0041870739,0.0009271733,0.0003489785
367,0.0052987452,0.0041935996,0.000688274,0.0003489619
368,0.0053050756,0.0041935802,0.0006881751,0.0003489615
369,0.0053049463,0.0041931523,0.0006881709,0.0003489422
370,0.0053041424,0.0041911807,0.0006880803,0.0003488703
371,0.0052894275,0.0041912281,0.0006880381,0.0003488748
372,0.0053452609,0.0042257218,0.000688875,0.0003501602
373,0.0054226904,0.0042575257,0.0006927177,0.0003512437
